keyword,title,address,point,url
김포 호텔,라마다앙코르바이윈덤 김포한강호텔,경기 김포시 고촌읍 아라육로152번길 169,3.2,https://www.ramadagimpohanriver.com/en/
김포 호텔,호텔마리나베이 서울,경기 김포시 고촌읍 아라육로152번길 210-50,3.8,https://www.marinabay-seoul.com/marinabayseoul/
김포 호텔,레스트호텔,경기 김포시 태장로795번길 151,4.4,https://gimpo-rest.jalib.site/
김포 호텔,약암홍염천관광호텔,경기 김포시 대곶면 약암로 965-7,3.2,http://www.yakam.co.kr/
김포 호텔,호텔라르,경기 김포시 고촌읍 장차로5번길 5-9,3.4,http://www.lartgimpo.com/html/main.asp
김포 호텔,스타비아호텔,경기 김포시 태장로795번길 147,4.1,http://staviahotel.com/
김포 호텔,호텔 마리나베이 서울아라,경기 김포시 고촌읍 아라육로152번길 210-50,4.2,
김포 호텔,아리수호텔,경기 김포시 태장로795번길 123,4.3,https://gp-arisu.jalib.site/
김포 호텔,펜타스타호텔 김포,경기 김포시 태장로795번길 111,3.2,https://pentastarhotel.modoo.at/
김포 호텔,JJ호텔,경기 김포시 김포한강9로 79 9~10층,4.8,https://www.jjhotelgimpo.com/ko/
김포 호텔,엠타워호텔,경기 김포시 김포한강9로75번길 38 9~12층,4.6,https://kpmtower.modoo.at/
김포 호텔,호텔럭스,경기 김포시 고촌읍 인향로 2,3.8,
김포 호텔,스타비아 관광호텔,경기 김포시 태장로795번길 147,0.0,
김포 호텔,검단신도시 호텔 에이치애비뉴,인천 서구 바리미로 31 지오프라자 8층,5.0,https://hotelhavenue.modoo.at/?link=9j4ejfgj
김포 호텔,에이치애비뉴 검단신도시점,인천 서구 바리미로 31 6~8층,0.0,https://hotelhavenue.modoo.at/
김포 호텔,3S부티크호텔 검단점,인천 서구 원당대로 874 1동,2.8,http://3sboutiquehotel.co.kr/
김포 호텔,소노캄고양 웨스트타워,경기 고양시 일산동구 태극로 18,3.6,https://www.sonohotelsresorts.com/calm_gy
김포 호텔,킨텍스바이케이트리,경기 고양시 일산서구 킨텍스로 255-3,,http://kintexbyk-tree.com/
김포 호텔,퀸타운호텔,경기 고양시 일산동구 정발산로 39 대양빌딩 8~10층,2.2,http://queentownhotel.com/
김포 호텔,밀레니엄호텔,경기 고양시 일산서구 주화로 190,3.5,
김포 호텔,호텔알렌,경기 고양시 일산동구 장백로 68,2.0,
김포 호텔,롯데시티호텔 김포공항,서울 강서구 하늘길 38,4.1,https://www.lottehotel.com/gimpo-city/ko.html
김포 호텔,호텔소프라 인천청라점,인천 서구 서곶로301번길 21,3.6,http://www.hotelsopra.com/
김포 호텔,카리스호텔,인천 계양구 계양대로 28,3.7,http://www.hotelcharis.com/wp/
김포 호텔,소울하다 인천계양점,인천 계양구 계양문화로 58,4.5,https://topstay01.cafe24.com/
김포 호텔,호텔캘리포니아,경기 고양시 일산동구 중앙로 1029,4.4,
김포 호텔,코트야드 바이메리어트 서울보타닉파크,서울 강서구 마곡중앙12로 10,1.4,https://www.hotelsouthkorea.com/courtyard-by-marriott-seoul-botanic-park/
김포 호텔,에이플렉스,경기 고양시 일산동구 호수로 662 삼성라끄빌 2층 209호,1.0,
김포 호텔,룩소르호텔,경기 고양시 일산서구 강성로 253,3.0,
